layer	source	target	run	acl	advcl	advmod	amod	appos	aux	case	cc	ccomp	clf	compound	conj	cop	csubj	dep	det	discourse	dislocated	expl	fixed	flat	goeswith	iobj	list	mark	nmod	nsubj	nummod	obj	obl	orphan	parataxis	reparandum	vocative	xcomp
4	en	en	3	0.5673	0.4524	0.7358	0.6904	0.3787	0.8729	0.934	0.9579	0.541		0.6661	0.7178	0.8298	0.1538	0	0.9732	0.5851		0.8197	0.8943	0.656	0.25	0.8108	0.5885	0.8647	0.7615	0.8719	0.7029	0.7869	0.6642	0	0.2282	0	0.3571	0.6327
0	ar	en	1	0.6686	0.2098	0.5867	0.8193	0.1957	0.9043	0.804	0.833	0.541			0.3414	0.3243	0.4706	0.3514	0.8278				0.4257	0.6222		0.0508		0.5294	0.7432	0.5271	0.7467	0.4376	0.4151	0	0.898			0.4327
1	ar	en	1	0.8044	0.4756	0.5925	0.8541	0.381	0.9147	0.9366	0.8412	0.688			0.741	0.6901	0.507	0.5	0.8462				0.6573	0.6087		0.1956		0.6961	0.8247	0.7087	0.7569	0.575	0.6027	0	0.9091			0.5018
2	ar	en	1	0.8055	0.436	0.5871	0.852	0.3962	0.9226	0.939	0.832	0.7185			0.7624	0.6743	0.5915	0.6194	0.8389				0.7229	0.549		0.1849		0.7156	0.8332	0.7465	0.7807	0.6015	0.598	0	0.9303			0.5355
3	ar	en	1	0.8171	0.4182	0.5919	0.8612	0.3333	0.9211	0.9426	0.8321	0.7335			0.7636	0.6905	0.5	0.549	0.8519				0.7815	0.5333		0.1442		0.7459	0.8305	0.7373	0.7818	0.5977	0.6174	0	0.9211			0.5524
4	ar	en	1	0.8295	0.3576	0.5944	0.8561	0.4211	0.9211	0.9437	0.8291	0.7099			0.7706	0.6503	0.4928	0.5714	0.848				0.7929	0.5957		0.2126		0.7605	0.8399	0.7455	0.8115	0.6126	0.6113	0	0.921			0.5862
0	ar	en	2	0.674	0.2361	0.5887	0.8194	0.1915	0.8904	0.8594	0.8401	0.5554			0.3433	0.5745	0.4615	0.3613	0.8321				0.463	0.6364		0.0857		0.5264	0.723	0.5362	0.7542	0.4464	0.4301	0	0.89			0.4435
1	ar	en	2	0.7934	0.4438	0.5876	0.8608	0.4211	0.9169	0.9389	0.8425	0.6804			0.7361	0.6744	0.4857	0.4768	0.8534				0.6968	0.5652		0.2403		0.6877	0.8181	0.7049	0.7592	0.5762	0.5968	0	0.9076			0.5208
2	ar	en	2	0.8168	0.4438	0.5829	0.8487	0.4615	0.9078	0.9396	0.8364	0.7136			0.7646	0.6857	0.6173	0.5621	0.8299				0.6994	0.4651		0.1256		0.7224	0.8304	0.7433	0.7682	0.6034	0.609	0	0.9328			0.5492
3	ar	en	2	0.8179	0.4308	0.6056	0.8607	0.3636	0.9236	0.9426	0.8287	0.737			0.7656	0.7027	0.5556	0.5479	0.8527				0.7712	0.6531		0.1835		0.7529	0.8357	0.745	0.8	0.6006	0.6173	0	0.9238			0.5362
